bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
NZ21-220,NZ21,220.0,f,Substation,f,NZ21,175.8371041997845,-39.15327593527552,NZ
NZ16-220,NZ16,220.0,f,Substation,f,NZ16,176.04120780000076,-38.6297063849832,NZ
NZ32-220,NZ32,220.0,f,Substation,f,NZ32,171.0154286000016,-44.1938248900162,NZ
NZ7-220,NZ7,220.0,f,Substation,f,NZ7,175.29072060000018,-37.479406383822266,NZ
NZ25-220,NZ25,220.0,f,Substation,f,NZ25,175.6348461999998,-40.40910328671262,NZ
NZ24-220,NZ24,220.0,f,Substation,f,NZ24,175.7090933999997,-40.355988086662194,NZ
NZ40-220,NZ40,220.0,f,Substation,f,NZ40,169.30677059304614,-45.18079273720407,NZ
NZ9-220,NZ9,220.0,f,Substation,f,NZ9,175.10221290000072,-37.72668838407446,NZ
NZ11-220,NZ11,220.0,f,Substation,f,NZ11,175.60754740000024,-37.92409978427394,NZ
NZ12-220,NZ12,220.0,f,Substation,f,NZ12,175.61048950000054,-37.93114198428138,NZ
NZ27-220,NZ27,220.0,f,Substation,f,NZ27,173.24122740000092,-41.3169309875577,NZ
NZ5-220,NZ5,220.0,f,Substation,f,NZ5,175.29943950000035,-37.42443448376645,NZ
NZ2-220,NZ2,220.0,f,Substation,f,NZ2,175.00786620000017,-36.98483538331636,NZ
NZ3-220,NZ3,220.0,f,Substation,f,NZ3,175.01482479999933,-36.98781198331825,NZ
NZ18-220,NZ18,220.0,f,Substation,f,NZ18,175.76986430000076,-38.98704288533774,NZ
NZ6-220,NZ6,220.0,f,Substation,f,NZ6,175.3011173000002,-37.4296252837715,NZ
NZ30-220,NZ30,220.0,f,Substation,f,NZ30,170.21191479329693,-44.122694376379314,NZ
NZ1-220,NZ1,220.0,f,Substation,f,NZ1,174.82479740000036,-36.92783568325814,NZ
NZ17-220,NZ17,220.0,f,Substation,f,NZ17,176.15754779999986,-38.66770778501997,NZ
NZ22-220,NZ22,220.0,f,Substation,f,NZ22,175.8328442999998,-39.15436538550153,NZ
NZ31-220,NZ31,220.0,f,Substation,f,NZ31,170.2386028000008,-44.13434088996858,NZ
NZ13-220,NZ13,220.0,f,Substation,f,NZ13,176.80584909999965,-38.1112816844621,NZ
NZ14-220,NZ14,220.0,f,Substation,f,NZ14,175.80736592175532,-38.41945600733752,NZ
NZ23-220,NZ23,220.0,f,Substation,f,NZ23,175.65719809999928,-39.49194638583136,NZ
NZ38-220,NZ38,220.0,f,Substation,f,NZ38,170.19879370000126,-44.5740740903135,NZ
NZ8-220,NZ8,220.0,f,Substation,f,NZ8,175.2977551,-37.48418728382688,NZ
NZ35-220,NZ35,220.0,f,Substation,f,NZ35,170.11255244641663,-44.29960811252754,NZ
NZ33-220,NZ33,220.0,f,Substation,f,NZ33,170.03196004568724,-44.264479836199534,NZ
NZ15-220,NZ15,220.0,f,Substation,f,NZ15,176.04933040000014,-38.61551008496829,NZ
